1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 8 0
9 9 0
10 10 0
11 11 0
12 12 2
13 13 17
14 14 56
15 15 151
16 16 482
17 17 919
18 18 1818
19 19 2006
20 20 2002
21 21 2415
22 22 1734
23 23 1520
24 24 1246
25 25 1112
26 26 725
27 27 651
28 28 449
29 29 342
30 30 334
31 31 171
32 32 175
33 33 117
34 34 85
35 35 89
36 36 53
37 37 42
38 38 41
39 39 30
40 40 42
41 41 17
42 42 20
43 43 14
44 44 7
45 45 14
46 46 9
47 47 3
48 48 6
49 49 6
50 50 5
51 51 2
52 52 6
53 53 3
54 54 4
55 55 6
56 56 2
57 57 1
58 58 5
59 59 0
60 60 3
61 61 0
62 62 1
63 63 0
64 64 0
65 65 1
66 66 0
67 67 0
68 68 1
69 69 0
70 70 0
71 71 0
72 72 0
73 73 1
74 74 0
75 75 0
76 76 0
77 77 0
78 78 0
79 79 0
80 80 0
81 81 0
82 82 0
83 83 0
84 84 0
85 85 0
86 86 0
87 87 0
88 88 0
89 89 0
90 90 0
91 91 0
92 92 0
93 93 0
94 94 0
95 95 0
96 96 0
